inst	m	l	greedy	grasp	ag	hibrida
96	500	500	69865145	66048452	67297056	69544954
97	500	500	69912982	66207173	67470479	69350478
98	500	500	69881909	66030873	67363963	69279884
99	500	500	70065996	65994047	67292402	69294025
0	1000	500	139955294	134810771	138219347	139531309
1	1000	500	139752108	134412413	138130469	139555043
2	1000	500	140074660	134737635	138089771	139361609
3	1000	500	140259833	134598573	138136796	139422226
4	1000	500	140049852	134586580	138049285	139450925
5	1000	500	139895984	134783369	138023417	139698600
6	1000	500	140282507	134925347	138198674	139924485
7	1000	500	140091230	134792692	138069387	139587598
8	1000	500	139503321	134519802	138064948	139764631
9	1000	500	140381343	134496296	137934233	139664981
10	1000	500	139981413	134546767	137982629	139610328
11	1000	500	140302870	134744061	138041116	139650808
12	1000	500	140245835	134400722	137763522	139530940
13	1000	500	139980085	134775111	138044185	139422296
14	1000	500	140249409	134654232	137925064	139631739
15	1000	500	140610422	134607719	138074941	139662934
16	1000	500	140016868	134580070	138220976	139790797
17	1000	500	140223478	134751514	138189580	139408402
18	1000	500	139702561	134660246	138202232	139507375
19	1000	500	140191684	134734204	138077148	139582082
20	1000	500	140290093	134642389	138115654	139529352
21	1000	500	139971748	134548577	137729431	139562491
22	1000	500	140119884	134524755	137993433	139626858
23	1000	500	140273799	134715714	138093078	139600087
24	1000	500	139743300	134727213	137880066	139748886
25	1000	500	139673379	134634804	137616900	139548583
26	1000	500	139615454	134728536	137984457	139549209
27	1000	500	140113415	134763243	138257442	139443863
28	1000	500	140175370	134635306	137904960	139685635
29	1000	500	140154419	134728183	138167853	139617382
30	1000	500	140114375	134522115	137962904	139435633
31	1000	500	140389326	134800939	137875562	139710511
32	1000	500	140179746	134614627	138092568	139550054
33	1000	500	139747109	134628567	138135606	139696761
34	1000	500	140449318	134944984	138283978	139580603
35	1000	500	139929964	134832387	138281295	139325595
36	1000	500	139952511	134591198	138179822	139660086
